FRASEO,E17_COD1
yaris                                                                                                                                                                                                                                                          ,YARIS
vento                                                                                                                                                                                                                                                          ,VENTO
jetta                                                                                                                                                                                                                                                          ,JETTA
tsuru                                                                                                                                                                                                                                                          ,TSURU
Fiesta                                                                                                                                                                                                                                                         ,FIESTA
Voyager                                                                                                                                                                                                                                                        ,VOYAGER
ford                                                                                                                                                                                                                                                           ,NO IDENTIFICADO
Jetta                                                                                                                                                                                                                                                          ,JETTA
vectra                                                                                                                                                                                                                                                         ,VECTRA
Tida                                                                                                                                                                                                                                                           ,TIIDA
chevi                                                                                                                                                                                                                                                          ,CHEVY
corsica                                                                                                                                                                                                                                                        ,CORSA
camioneta                                                                                                                                                                                                                                                      ,NO IDENTIFICADO
Chevy                                                                                                                                                                                                                                                          ,CHEVY
pikut                                                                                                                                                                                                                                                          ,PICK UP
3,NO IDENTIFICADO
Chavelier                                                                                                                                                                                                                                                      ,CAVALIER
nissan                                                                                                                                                                                                                                                         ,NO IDENTIFICADO
no sabe                                                                                                                                                                                                                                                        ,NO SABE
chevy                                                                                                                                                                                                                                                          ,CHEVY
máxima                                                                                                                                                                                                                                                        ,MAXIMA
Rogue                                                                                                                                                                                                                                                          ,ROGUE
I10                                                                                                                                                                                                                                                            ,I10
altima                                                                                                                                                                                                                                                         ,ALTIMA
saturno                                                                                                                                                                                                                                                        ,GM SATURN
Pointer                                                                                                                                                                                                                                                        ,POINTER
toyota                                                                                                                                                                                                                                                         ,NO IDENTIFICADO
Silverado                                                                                                                                                                                                                                                      ,SILVERADO
Focus                                                                                                                                                                                                                                                          ,FOCUS
Frontier                                                                                                                                                                                                                                                       ,FRONTIER
Volkswagen                                                                                                                                                                                                                                                     ,VOLKSWAGEN SEDÁN
spark                                                                                                                                                                                                                                                          ,SPARK
stratus                                                                                                                                                                                                                                                        ,STRATUS
neon                                                                                                                                                                                                                                                           ,NEON
sentra                                                                                                                                                                                                                                                         ,SENTRA
Chebrolet                                                                                                                                                                                                                                                      ,NO IDENTIFICADO
Tsuru                                                                                                                                                                                                                                                          ,TSURU
chevrolet                                                                                                                                                                                                                                                      ,NO IDENTIFICADO
AVEO                                                                                                                                                                                                                                                           ,AVEO
astra                                                                                                                                                                                                                                                          ,ASTRA
fiesta                                                                                                                                                                                                                                                         ,FIESTA
mazda 5                                                                                                                                                                                                                                                        ,MAZDA
Pick up                                                                                                                                                                                                                                                        ,PICK UP
isuru                                                                                                                                                                                                                                                          ,TSURU
aveo                                                                                                                                                                                                                                                           ,AVEO
mazda                                                                                                                                                                                                                                                          ,MAZDA
ranger                                                                                                                                                                                                                                                         ,RANGER
civic                                                                                                                                                                                                                                                          ,CIVIC
expedition                                                                                                                                                                                                                                                     ,EXPEDITION
Spark                                                                                                                                                                                                                                                          ,SPARK
winstar                                                                                                                                                                                                                                                        ,WINDSTAR
Ranger                                                                                                                                                                                                                                                         ,RANGER
atos                                                                                                                                                                                                                                                           ,ATOS
Escape                                                                                                                                                                                                                                                         ,ESCAPE
cherokee                                                                                                                                                                                                                                                       ,JEEP CHEROKEE
cross fox                                                                                                                                                                                                                                                      ,CROSS FOX
chevy  pop                                                                                                                                                                                                                                                     ,CHEVY
tiida                                                                                                                                                                                                                                                          ,TIIDA
bocho                                                                                                                                                                                                                                                          ,VOLKSWAGEN SEDÁN
tida                                                                                                                                                                                                                                                           ,TIIDA
pop                                                                                                                                                                                                                                                            ,CHEVY
monza                                                                                                                                                                                                                                                          ,CHEVY
hummer                                                                                                                                                                                                                                                         ,HUMMER
jetta clásico                                                                                                                                                                                                                                                 ,JETTA
Dart                                                                                                                                                                                                                                                           ,DART
pointer                                                                                                                                                                                                                                                        ,POINTER
polo                                                                                                                                                                                                                                                           ,POLO
audi                                                                                                                                                                                                                                                           ,NO IDENTIFICADO
versa                                                                                                                                                                                                                                                          ,VERSA
camrry                                                                                                                                                                                                                                                         ,CAMRY
camry                                                                                                                                                                                                                                                          ,CAMRY
corolla                                                                                                                                                                                                                                                        ,COROLLA
Lobo                                                                                                                                                                                                                                                           ,LOBO
march                                                                                                                                                                                                                                                          ,MARCH
malibu                                                                                                                                                                                                                                                         ,MALIBU
gran am                                                                                                                                                                                                                                                        ,GRAND AM
maxima                                                                                                                                                                                                                                                         ,MAXIMA
ikon                                                                                                                                                                                                                                                           ,IKON
