"x"
"comenta que los intereses son altos y solo es una estafa                                                                                                                                                                                                       "
"por que es un banco sin futuro                                                                                                                                                                                                                                 "
"dice que no es un banco muy conocido y que no le brinda la confianza necesaria                                                                                                                                                                                 "
"comenta que alguna vez su papa pidió uno y le cobraban de mas ya que el interes era demasiado alto                                                                                                                                                            "
"por que no lo conoce bien                                                                                                                                                                                                                                      "
"porque tengo muy malos comentarios sobre ellos                                                                                                                                                                                                                 "
"comenta que no es un banco en si, que es una tienda departamental y que no tienen el conocimiento de un banco                                                                                                                                                  "
"por que se le hace mucho interés                                                                                                                                                                                                                              "
"por que tiene muy pocas sucursales                                                                                                                                                                                                                             "
"por que nunca se le a dado la oportunidad nunca le han ofrecido crédito en ninguna parte                                                                                                                                                                      "
"no tiene la información de ese banco y se irá por los más confiables o conocidos                                                                                                                                                                            "
"siempre molestan mucho alas casas                                                                                                                                                                                                                              "
"no sabe                                                                                                                                                                                                                                                        "
"mucho interes                                                                                                                                                                                                                                                  "
"por que esta en quiebra                                                                                                                                                                                                                                        "
"comenta que no le daría confianza a una tienda departamental                                                                                                                                                                                                  "
"por que es un banco confiable y tiene muy poco intereses                                                                                                                                                                                                       "
"Porque eh escuchado que si no pagan como es, les llega a subir demásiado en intereses ya mi no me gusta repagar lo prestado                                                                                                                                   "
"porque sus tasas de interés son muy altas, porque tienen un muy mal servicio de banco y porque no me gusta ese banco, no es de mexicanos                                                                                                                      "
"porque tengo ahi mi tarjeta de nomina                                                                                                                                                                                                                          "
"por su interés                                                                                                                                                                                                                                                "
"las comisiones son más altas como intereses                                                                                                                                                                                                                   "
"Porque alguna vez quise sacar una tarjeta y me la negaron                                                                                                                                                                                                      "
"No me gusta por las colas que hay siemore                                                                                                                                                                                                                      "
"por que no conosco mucho ese banco                                                                                                                                                                                                                             "
"muy mal trato al cliente                                                                                                                                                                                                                                       "
"Hace mucho tiempo tuve una tarjeta de crédito de suburbia y es de este banco y son muy careros                                                                                                                                                                "
"por que no hay muchos cajeros                                                                                                                                                                                                                                  "
"cobran muchos interés                                                                                                                                                                                                                                         "
"Por que no hay sucursales                                                                                                                                                                                                                                      "
"no le interesa                                                                                                                                                                                                                                                 "
"no me interesa                                                                                                                                                                                                                                                 "
"los intereses son muy altos                                                                                                                                                                                                                                    "
"son caros los intereses que cobran                                                                                                                                                                                                                             "
"porque siempre pagas las cosas de más, el precio del.producto lo pagas al doble                                                                                                                                                                               "
"por que conosco muy poco de ellos y no e visto muchos bancos                                                                                                                                                                                                   "
"las filas para poder realizar algúna transaccion son muy grandes además de que la atencion al cliente deja mucho que desear                                                                                                                                  "
"no solicitaría ningun banco pero he sabido que ese banco es muy caro                                                                                                                                                                                          "
"Me queda muy lejos                                                                                                                                                                                                                                             "
"Porque no hay en el Pueblo                                                                                                                                                                                                                                     "
"Porque me queda lejos                                                                                                                                                                                                                                          "
"No le gusta porque no hay donde vivo                                                                                                                                                                                                                           "
"No me gusta                                                                                                                                                                                                                                                    "
"no me agrada                                                                                                                                                                                                                                                   "
"por que son muy enfadosos y muchos intereses                                                                                                                                                                                                                   "
"son bien enfadosos                                                                                                                                                                                                                                             "
"porque es un banco muy caro segun lo que me dijo mi contador                                                                                                                                                                                                   "
"Por los intereses                                                                                                                                                                                                                                              "
"no me gusta ese banco utilizo y ya me acostumbre a estaar con banamex a mi me da un buen servicio                                                                                                                                                              "
"emfadosos                                                                                                                                                                                                                                                      "
"los intereses son muy altos y no siento que tengan la seguridad de mis cuentas como quisiera además siempre pagas más de lo que usas                                                                                                                         "
"no me gusta ese banco                                                                                                                                                                                                                                          "
"x los intereses altos                                                                                                                                                                                                                                          "
"porque solo soy un estudiante y creo que en ese banco son para personas de nivel ejecutivo                                                                                                                                                                     "
"no me gusta                                                                                                                                                                                                                                                    "
"son muchos intereses                                                                                                                                                                                                                                           "
"pagan más intereses de los que se deben                                                                                                                                                                                                                       "
"no tiene tanta fama                                                                                                                                                                                                                                            "
"por la fama que se llega a crear                                                                                                                                                                                                                               "
"porqur trabaje connuna empresa que pagaba mi sueldo en ese banco pero me quitaban muchas comisiones                                                                                                                                                            "
"los intereses son muy elevados                                                                                                                                                                                                                                 "
"porque esta mas cercano a tu domicilio                                                                                                                                                                                                                         "
"interés muy alto                                                                                                                                                                                                                                              "
"muy alto interés                                                                                                                                                                                                                                              "
"cobran mucho de interés en la tarjeta de crédito                                                                                                                                                                                                             "
"Pues yo no lo utilizaría, porque su taza de interés es más alta que la de algunas otras sucursales y para mi no es conveniente.                                                                                                                             "
"por que para mi los intereses son muy altos y no me es conveniente                                                                                                                                                                                             "
"es un banco que esta muy retirado de mi casa y solo le dan a clases de personas con dinero                                                                                                                                                                     "
"enfadan mucho                                                                                                                                                                                                                                                  "
"Son muy fastidioso no tienen buena atención a los clientes y tienen sus intereses muy altos                                                                                                                                                                   "
"porque me da miedo, he visto con familiares como su deuda va a veces creciendo y no pueden acabar de pagar, no quiero que eso me pase a mi                                                                                                                     "
"porque esos del elektra le saca a uno los ojos de la cara con los intereses, termina uno pagando el doble o hasta más, la verdad yo siento que no conviene y prefiero pagar en efectivo                                                                       "
