FRASEO,P12a_COD1,P12a_COD2
comenta que los intereses son altos y solo es una estafa                                                                                                                                                                                                       ,LOS INTERESES SON ALTOS,
por que es un banco sin futuro                                                                                                                                                                                                                                 ,NO ME DA CONFIANZA,
dice que no es un banco muy conocido y que no le brinda la confianza necesaria                                                                                                                                                                                 ,NO ME DA CONFIANZA,
comenta que alguna vez su papa pidió uno y le cobraban de mas ya que el interes era demasiado alto                                                                                                                                                            ,LOS INTERESES SON ALTOS,NO ME DA CONFIANZA
por que no lo conoce bien                                                                                                                                                                                                                                      ,FALTA INFORMACIÓN DEL BANCO,
porque tengo muy malos comentarios sobre ellos                                                                                                                                                                                                                 ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
"comenta que no es un banco en si, que es una tienda departamental y que no tienen el conocimiento de un banco                                                                                                                                                  ",ME HAN DADO MALAS REFERENCIAS DEL BANCO,
por que se le hace mucho interés                                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,
por que tiene muy pocas sucursales                                                                                                                                                                                                                             ,TIENE POCAS SUCURSALES/CAJEROS,
por que nunca se le a dado la oportunidad nunca le han ofrecido crédito en ninguna parte                                                                                                                                                                      ,FALTA INFORMACIÓN DEL BANCO,
no tiene la información de ese banco y se irá por los más confiables o conocidos                                                                                                                                                                            ,NO ME DA CONFIANZA,
siempre molestan mucho alas casas                                                                                                                                                                                                                              ,MALA ATENCIÓN Y SERVICIO,
no sabe                                                                                                                                                                                                                                                        ,NO SABE/NO CONTESTO,
mucho interes                                                                                                                                                                                                                                                  ,LOS INTERESES SON ALTOS,
por que esta en quiebra                                                                                                                                                                                                                                        ,NO ME DA CONFIANZA,
comenta que no le daría confianza a una tienda departamental                                                                                                                                                                                                  ,NO ME DA CONFIANZA,
por que es un banco confiable y tiene muy poco intereses                                                                                                                                                                                                       ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
"Porque eh escuchado que si no pagan como es, les llega a subir demásiado en intereses ya mi no me gusta repagar lo prestado                                                                                                                                   ",LOS INTERESES SON ALTOS,ME HAN DADO MALAS REFERENCIAS DEL BANCO
"porque sus tasas de interés son muy altas, porque tienen un muy mal servicio de banco y porque no me gusta ese banco, no es de mexicanos                                                                                                                      ",LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
porque tengo ahi mi tarjeta de nomina                                                                                                                                                                                                                          ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
por su interés                                                                                                                                                                                                                                                ,LOS INTERESES SON ALTOS,
las comisiones son más altas como intereses                                                                                                                                                                                                                   ,COBRAN MUCHAS COMISIONES,LOS INTERESES SON ALTOS
Porque alguna vez quise sacar una tarjeta y me la negaron                                                                                                                                                                                                      ,PIDEN MUCHOS REQUISITOS,
No me gusta por las colas que hay siemore                                                                                                                                                                                                                      ,MALA ATENCIÓN Y SERVICIO,
por que no conosco mucho ese banco                                                                                                                                                                                                                             ,FALTA INFORMACIÓN DEL BANCO,
muy mal trato al cliente                                                                                                                                                                                                                                       ,MALA ATENCIÓN Y SERVICIO,
Hace mucho tiempo tuve una tarjeta de crédito de suburbia y es de este banco y son muy careros                                                                                                                                                                ,LOS INTERESES SON ALTOS,
por que no hay muchos cajeros                                                                                                                                                                                                                                  ,MALA ATENCIÓN Y SERVICIO,
cobran muchos interés                                                                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
Por que no hay sucursales                                                                                                                                                                                                                                      ,TIENE POCAS SUCURSALES/CAJEROS,
no le interesa                                                                                                                                                                                                                                                 ,NO ME INTERESA UN CRÉDITO,
no me interesa                                                                                                                                                                                                                                                 ,NO ME INTERESA UN CRÉDITO,
los intereses son muy altos                                                                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
son caros los intereses que cobran                                                                                                                                                                                                                             ,LOS INTERESES SON ALTOS,
"porque siempre pagas las cosas de más, el precio del.producto lo pagas al doble                                                                                                                                                                               ",LOS INTERESES SON ALTOS,
por que conosco muy poco de ellos y no e visto muchos bancos                                                                                                                                                                                                   ,FALTA INFORMACIÓN DEL BANCO,TIENE POCAS SUCURSALES/CAJEROS
las filas para poder realizar algúna transaccion son muy grandes además de que la atencion al cliente deja mucho que desear                                                                                                                                  ,MALA ATENCIÓN Y SERVICIO,
no solicitaría ningun banco pero he sabido que ese banco es muy caro                                                                                                                                                                                          ,NO ME INTERESA UN CRÉDITO,LOS INTERESES SON ALTOS
Me queda muy lejos                                                                                                                                                                                                                                             ,TIENE POCAS SUCURSALES/CAJEROS,
Porque no hay en el Pueblo                                                                                                                                                                                                                                     ,TIENE POCAS SUCURSALES/CAJEROS,
Porque me queda lejos                                                                                                                                                                                                                                          ,TIENE POCAS SUCURSALES/CAJEROS,
