FRASEO,P5_COD1,P5_COD2,P5_COD3
buenos beneficios                                                                                                                                                                                                                                              ,NO SABE / NO CONTESTÓ,,
el empresa me proporciono el banco                                                                                                                                                                                                                             ,LA EMPRESA ME ASIGNÓ EL BANCO,,
"pago de nomina quincenal sin cobros y pago de servicios automaticos desde mi tarjeta, como el cable y me dan tasa de ganancias mensual por tenerla                                                                                                             ",PUEDO DOMICILIAR MIS PAGOS,NO COBRA COMISIONES,GENERA BUENOS RENDIMIENTOS
mi empresa me la proporcionó                                                                                                                                                                                                                                  ,LA EMPRESA ME ASIGNÓ EL BANCO,,
por el trabajo.                                                                                                                                                                                                                                                ,LA EMPRESA ME ASIGNÓ EL BANCO,,
me la proporcionaronen mi trabajo                                                                                                                                                                                                                              ,LA EMPRESA ME ASIGNÓ EL BANCO,,
"sin cobros por uso de tarjeta y consultas transferencias, pagos domiciliados, rendimiento por mi dinero                                                                                                                                                        ",NO COBRA COMISIONES,PUEDO DOMICILIAR MIS PAGOS,GENERA BUENOS RENDIMIENTOS
"puedo retirar, depositar y no me cobran nada y todo es gratis y la gente que trabaja ahí es muy amable                                                                                                                                                        ",NO COBRA COMISIONES,TIENE BUENA ATENCIÓN Y SERVICIO,
"porque ahí guardo mi dinero y puedo sacarlo ahí mismo, sin que me cobren y me dan mi tarjeta y puedo pagar con esa y tampoco me cobran nada                                                                                                                  ",PUEDO PAGAR CON MI TARJETA EN MUCHOS LUGARES,NO COBRA COMISIONES,
"es el que me queda más cerca y la tarjeta es gratis, no hay muchos bancos que te la den gratis en Coita                                                                                                                                                       ",ESTÁ BIEN UBICADO,NO COBRA COMISIONES,
"aparte de que no cobran por uso de cuenta ni tarjeta, está bien ubicado y abierto hasta las 9                                                                                                                                                                 ",ESTÁ BIEN UBICADO,NO COBRA COMISIONES,HORARIO AMPLIO
sin cobros por uso o anualidad y los horarios flexibles aunque solo hay una sucursal cerca                                                                                                                                                                     ,HORARIO AMPLIO,NO COBRA COMISIONES,
que genera un interés                                                                                                                                                                                                                                         ,GENERA BUENOS RENDIMIENTOS,,
el servicio es eficaz                                                                                                                                                                                                                                          ,TIENE BUENA ATENCIÓN Y SERVICIO,,
hay cajeros en todas partes y la aceptan en todos lados sin tanto problema                                                                                                                                                                                     ,HAY MUCHOS CAJEROS,PUEDO PAGAR CON MI TARJETA EN MUCHOS LUGARES,
"cajeros automaticos siempre disponibles y me dan un rendimiento por mi dinero, además del reconocimiento del banco en todo el país                                                                                                                           ",HAY MUCHOS CAJEROS,GENERA BUENOS RENDIMIENTOS,ES SEGURO Y CONFIABLE
al pagarle a conocidos                                                                                                                                                                                                                                         ,OTROS,,
guardo mi dinero de forma segura                                                                                                                                                                                                                               ,ES SEGURO Y CONFIABLE,,
por la baja tasa                                                                                                                                                                                                                                               ,COBRA POCOS INTERESES,,
sucursales cercanas de mi área de casa/trabajo                                                                                                                                                                                                                ,ESTÁ BIEN UBICADO,,
"tenía que recibir un dinero y solo podía ser por Coppel y abrí mi cuenta, aunque ya tiene que no la uso                                                                                                                                                     ",ERA NECESARIO ABRIR MI CUENTA EN ESTE BANCO,,
"es la misma cuenta de ahorro, la tengo en Elektra porque los demás bancos me cobran y cierran temprano                                                                                                                                                        ",HORARIO AMPLIO,NO COBRA COMISIONES,
me dan prestamos de $5000 y lo pago semanal o a veces el cobrador lo deja en mi casa y también saco mis muebles de repente ahí                                                                                                                               ,ME OTORGAN PRÉSTAMOS,PAGOS CÓMODOS,TIENE VARIEDAD DE PRODUCTOS
"no cobran por uso de la tarjeta y me queda cerca para ir a pagarla, no cobran anualidad                                                                                                                                                                        ",NO COBRA COMISIONES,ESTÁ BIEN UBICADO,
me dan prestamos y compras en la tienda y en otras tiendas en pago semanal                                                                                                                                                                                     ,ME OTORGAN PRÉSTAMOS,TIENE VARIEDAD DE PRODUCTOS,PAGOS CÓMODOS
"la uso como un auxiliar, ya que no me genera cobros adicionales y puedo también disponer de efectivo                                                                                                                                                          ",NO COBRA COMISIONES,ME OTORGAN PRÉSTAMOS,
baja tasa de interes                                                                                                                                                                                                                                           ,COBRA POCOS INTERESES,,
la tasa de interes es baja                                                                                                                                                                                                                                     ,COBRA POCOS INTERESES,,
las recompensas que dan son buenas                                                                                                                                                                                                                             ,OFERTAS Y PROMOCIONES,,
el no cargar dinero                                                                                                                                                                                                                                            ,PARA NO CARGAR EFECTIVO,,
muy rápido el servicio                                                                                                                                                                                                                                        ,TIENE BUENA ATENCIÓN Y SERVICIO,,
mis padres la sacaron                                                                                                                                                                                                                                          ,MIS PADRES SACARON LA TARJETA,,
que me queda cerca para pagarla y tengo hasta las 9 abierto y no me cobran anualidad                                                                                                                                                                           ,ESTÁ BIEN UBICADO,HORARIO AMPLIO,NO COBRA COMISIONES
"puedo retirar, comprar y pagar antes de los 14 días sin cobro adicional                                                                                                                                                                                       ",NO COBRA COMISIONES,NO COBRA COMISIONES,
porque no me cobran y está abierto todo el día                                                                                                                                                                                                               ,NO COBRA COMISIONES,HORARIO AMPLIO,
