"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","Banco Azteca","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"2","LOS INTERESES SON ALTOS","136","61.3","84","58.7","52","65.8","67","58.3","69","64.5","23","51.1","38","69.1","24","64.9","22","62.9","29","58","36","65.5","39","54.9","32","59.3","29","69","4","13.3","8","36.4","12","85.7","14","48.3","13","65","24","77.4","4","44.4","38","80.9","19","95","49","73.1","11","73.3","11","73.3","15","44.1","36","65.5","14","38.9","14","42.4","44","68.8","7","33.3","7","70","8","88.9","4","66.7"
"3","NO ME DA CONFIANZA","28","12.6","20","14","8","10.1","12","10.4","16","15","8","17.8","3","5.5","5","13.5","5","14.3","7","14","6","10.9","4","5.6","9","16.7","9","21.4","10","33.3","3","13.6","0","0","2","6.9","2","10","8","25.8","2","22.2","1","2.1","0","0","7","10.4","0","0","0","0","8","23.5","7","12.7","6","16.7","6","18.2","8","12.5","6","28.6","0","0","0","0","0","0"
"4","FALTA INFORMACIÓN DEL BANCO","15","6.8","13","9.1","2","2.5","10","8.7","5","4.7","3","6.7","6","10.9","1","2.7","1","2.9","4","8","4","7.3","4","5.6","5","9.3","2","4.8","9","30","0","0","0","0","1","3.4","0","0","0","0","0","0","5","10.6","0","0","3","4.5","0","0","0","0","6","17.6","3","5.5","3","8.3","6","18.2","5","7.8","2","9.5","0","0","0","0","0","0"
"5","ME HAN DADO MALAS REFERENCIAS DEL BANCO","14","6.3","10","7","4","5.1","8","7","6","5.6","4","8.9","1","1.8","2","5.4","1","2.9","6","12","2","3.6","4","5.6","4","7.4","4","9.5","0","0","0","0","0","0","4","13.8","0","0","3","9.7","1","11.1","6","12.8","0","0","4","6","0","0","0","0","0","0","6","10.9","4","11.1","3","9.1","6","9.4","0","0","1","10","0","0","0","0"
"6","TIENE POCAS SUCURSALES/CAJEROS","7","3.2","3","2.1","4","5.1","4","3.5","3","2.8","1","2.2","0","0","1","2.7","0","0","5","10","3","5.5","1","1.4","3","5.6","0","0","4","13.3","1","4.5","0","0","0","0","1","5","1","3.2","0","0","0","0","0","0","1","1.5","0","0","0","0","2","5.9","0","0","4","11.1","0","0","1","1.6","2","9.5","0","0","0","0","0","0"
"7","MALA ATENCIÓN Y SERVICIO","9","4.1","6","4.2","3","3.8","4","3.5","5","4.7","0","0","3","5.5","3","8.1","1","2.9","2","4","4","7.3","4","5.6","0","0","1","2.4","2","6.7","1","4.5","0","0","1","3.4","3","15","1","3.2","0","0","0","0","1","5","2","3","1","6.7","2","13.3","2","5.9","1","1.8","1","2.8","1","3","2","3.1","0","0","1","10","1","11.1","1","16.7"
"8","NO SABE/NO CONTESTO","1","0.5","0","0","1","1.3","1","0.9","0","0","0","0","0","0","0","0","1","2.9","0","0","1","1.8","0","0","0","0","0","0","0","0","0","0","0","0","1","3.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2.8","0","0","0","0","0","0","0","0","0","0","0","0"
"9","NO TENGO PROBLEMA, SI LO SOLICITARIA","9","4.1","3","2.1","6","7.6","3","2.6","6","5.6","0","0","3","5.5","1","2.7","3","8.6","2","4","2","3.6","7","9.9","0","0","0","0","0","0","2","9.1","1","7.1","5","17.2","0","0","0","0","0","0","0","0","1","5","4","6","2","13.3","0","0","0","0","1","1.8","2","5.6","0","0","2","3.1","0","0","0","0","0","0","1","16.7"
"10","COBRAN MUCHAS COMISIONES","2","0.9","1","0.7","1","1.3","1","0.9","1","0.9","1","2.2","0","0","0","0","0","0","1","2","0","0","2","2.8","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","3.2","0","0","0","0","0","0","1","1.5","0","0","0","0","0","0","1","1.8","0","0","0","0","1","1.6","0","0","0","0","0","0","0","0"
"11","PIDEN MUCHOS REQUISITOS","6","2.7","4","2.8","2","2.5","4","3.5","2","1.9","2","4.4","0","0","2","5.4","2","5.7","0","0","2","3.6","2","2.8","2","3.7","0","0","0","0","1","4.5","3","21.4","1","3.4","0","0","0","0","0","0","1","2.1","0","0","2","3","0","0","1","6.7","2","5.9","0","0","1","2.8","0","0","1","1.6","3","14.3","0","0","0","0","0","0"
"12","NO ME INTERESA UN CRÉDITO","5","2.3","4","2.8","1","1.3","4","3.5","1","0.9","1","2.2","1","1.8","1","2.7","0","0","2","4","2","3.6","2","2.8","1","1.9","0","0","1","3.3","2","9.1","0","0","0","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","1","6.7","1","2.9","1","1.8","2","5.6","1","3","0","0","3","14.3","0","0","0","0","0","0"
"13","NO ME GUSTA EL BANCO","5","2.3","5","3.5","0","0","4","3.5","1","0.9","2","4.4","1","1.8","1","2.7","1","2.9","0","0","0","0","2","2.8","2","3.7","1","2.4","0","0","2","9.1","0","0","1","3.4","1","5","0","0","0","0","1","2.1","0","0","2","3","0","0","0","0","0","0","3","5.5","0","0","1","3","3","4.7","0","0","1","10","0","0","0","0"
"14","NO SOY SUJETO DE CRÉDITO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","NO CUBRE MIS NECESIDADES","3","1.4","3","2.1","0","0","1","0.9","2","1.9","3","6.7","0","0","0","0","0","0","0","0","0","0","3","4.2","0","0","0","0","0","0","0","0","0","0","1","3.4","1","5","1","3.2","0","0","0","0","0","0","0","0","0","0","1","6.7","0","0","2","3.6","0","0","1","3","1","1.6","0","0","0","0","1","11.1","0","0"
"16","ES UN BANCO PARA GENTE RICA","1","0.5","1","0.7","0","0","1","0.9","0","0","0","0","1","1.8","0","0","0","0","0","0","0","0","1","1.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11.1","0","0","0","0","0","0","1","6.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","0","0","0","0"
"17","POR LOS PLAZOS Y FRECUENCIA DE PAGOS","6","2.7","1","0.7","5","6.3","2","1.7","4","3.7","0","0","3","5.5","1","2.7","2","5.7","0","0","1","1.8","2","2.8","1","1.9","2","4.8","1","3.3","3","13.6","0","0","0","0","0","0","0","0","1","11.1","1","2.1","0","0","2","3","1","6.7","0","0","0","0","0","0","3","8.3","0","0","0","0","0","0","0","0","1","11.1","0","0"
"18","","197","88.7","128","89.5","69","87.3","104","90.4","93","86.9","42","93.3","50","90.9","32","86.5","31","88.6","42","84","47","85.5","65","91.5","49","90.7","36","85.7","29","96.7","21","95.5","12","85.7","27","93.1","16","80","23","74.2","9","100","41","87.2","19","95","57","85.1","14","93.3","14","93.3","32","94.1","49","89.1","31","86.1","33","100","54","84.4","19","90.5","9","90","7","77.8","6","100"
"19","Total","222","100","143","100","79","100","115","100","107","100","45","100","55","100","37","100","35","100","50","100","55","100","71","100","54","100","42","100","30","100","22","100","14","100","29","100","20","100","31","100","9","100","47","100","20","100","67","100","15","100","15","100","34","100","55","100","36","100","33","100","64","100","21","100","10","100","9","100","6","100"
"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
