"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","E1","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"2","E1.Celular","1194","94.9","828","97.5","366","89.5","614","96.2","580","93.5","222","97.4","268","96.4","238","97.1","228","94.6","238","89.5","275","96.8","366","97.9","328","94","225","89.6","172","95","129","89.6","82","77.4","191","98.5","131","95.6","96","96","144","100","157","98.7","92","98.9","243","95.7","113","89","131","92.3","275","98.9","267","98.2","165","89.2","147","99.3","256","99.6","168","94.9","82","95.3","93","94.9","82","98.8"
"3","E1.Tableta","276","21.9","192","22.6","84","20.5","150","23.5","126","20.3","92","40.4","86","30.9","46","18.8","37","15.4","15","5.6","85","29.9","99","26.5","68","19.5","24","9.6","40","22.1","33","22.9","16","15.1","40","20.6","35","25.5","11","11","17","11.8","67","42.1","17","18.3","35","13.8","61","48","28","19.7","67","24.1","58","21.3","27","14.6","44","29.7","46","17.9","23","13","38","44.2","19","19.4","22","26.5"
"4","E1.Computadora","448","35.6","321","37.8","127","31.1","241","37.8","207","33.4","141","61.8","129","46.4","85","34.7","57","23.7","36","13.5","143","50.4","150","40.1","93","26.6","62","24.7","87","48.1","44","30.6","22","20.8","67","34.5","51","37.2","28","28","45","31.2","84","52.8","20","21.5","54","21.3","48","37.8","56","39.4","114","41","116","42.6","60","32.4","87","58.8","69","26.8","58","32.8","35","40.7","38","38.8","34","41"
"5","E1.Consola.de.videojuegos","100","7.9","63","7.4","37","9","73","11.4","27","4.4","35","15.4","34","12.2","12","4.9","12","5","7","2.6","38","13.4","38","10.2","17","4.9","7","2.8","23","12.7","11","7.6","1","0.9","11","5.7","16","11.7","6","6","16","11.1","9","5.7","7","7.5","9","3.5","8","6.3","17","12","22","7.9","30","11","14","7.6","17","11.5","20","7.8","8","4.5","4","4.7","7","7.1","7","8.4"
"6","E1.Ninguno","49","3.9","17","2","32","7.8","20","3.1","29","4.7","2","0.9","7","2.5","2","0.8","11","4.6","27","10.2","3","1.1","4","1.1","19","5.4","23","9.2","9","5","15","10.4","12","11.3","2","1","5","3.6","3","3","1","0.7","1","0.6","1","1.1","12","4.7","2","1.6","8","5.6","3","1.1","4","1.5","20","10.8","1","0.7","2","0.8","9","5.1","2","2.3","3","3.1","0","0"
"7","Total","1258","100","849","100","409","100","638","100","620","100","228","100","278","100","245","100","241","100","266","100","284","100","374","100","349","100","251","100","181","100","144","100","106","100","194","100","137","100","100","100","144","100","159","100","93","100","254","100","127","100","142","100","278","100","272","100","185","100","148","100","257","100","177","100","86","100","98","100","83","100"
"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","E2","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"10","Básico (Blanco y negro, llamadas y mensajes de texto, sin cá","161","12.8","107","12.6","54","13.2","95","14.9","66","10.6","15","6.6","36","12.9","23","9.4","27","11.2","60","22.6","7","2.5","41","11","55","15.8","58","23.1","23","12.7","9","6.2","44","41.5","15","7.7","11","8","4","4","12","8.3","26","16.4","17","18.3","27","10.6","12","9.4","18","12.7","54","19.4","21","7.7","29","15.7","14","9.5","21","8.2","40","22.6","6","7","11","11.2","15","18.1"
"11","Color (Llamadas, SMS y Multimedia, Con cámara, Sin Internet)","188","14.9","114","13.4","74","18.1","94","14.7","94","15.2","18","7.9","27","9.7","34","13.9","51","21.2","58","21.8","25","8.8","54","14.4","63","18.1","46","18.3","28","15.5","15","10.4","15","14.2","29","14.9","21","15.3","13","13","26","18.1","37","23.3","4","4.3","47","18.5","24","18.9","15","10.6","37","13.3","28","10.3","37","20","11","7.4","40","15.6","27","15.3","17","19.8","11","11.2","8","9.6"
"12","Smartphone (Internet, Cámara y GPS)","845","67.2","607","71.5","238","58.2","425","66.6","420","67.7","189","82.9","205","73.7","181","73.9","150","62.2","120","45.1","243","85.6","271","72.5","210","60.2","121","48.2","121","66.9","105","72.9","23","21.7","147","75.8","99","72.3","79","79","106","73.6","94","59.1","71","76.3","169","66.5","77","60.6","98","69","184","66.2","218","80.1","99","53.5","122","82.4","195","75.9","101","57.1","59","68.6","71","72.4","59","71.1"
"13","Total","1258","100","849","100","409","100","638","100","620","100","228","100","278","100","245","100","241","100","266","100","284","100","374","100","349","100","251","100","181","100","144","100","106","100","194","100","137","100","100","100","144","100","159","100","93","100","254","100","127","100","142","100","278","100","272","100","185","100","148","100","257","100","177","100","86","100","98","100","83","100"
"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15","E3","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"16","Alcatel","157","12.5","96","11.3","61","14.9","72","11.3","85","13.7","8","3.5","29","10.4","26","10.6","41","17","53","19.9","19","6.7","43","11.5","52","14.9","43","17.1","17","9.4","14","9.7","17","16","22","11.3","13","9.5","14","14","18","12.5","21","13.2","21","22.6","53","20.9","21","16.5","16","11.3","30","10.8","15","5.5","22","11.9","7","4.7","36","14","25","14.1","8","9.3","9","9.2","11","13.3"
"17","Asus","8","0.6","5","0.6","3","0.7","5","0.8","3","0.5","2","0.9","3","1.1","1","0.4","2","0.8","0","0","3","1.1","3","0.8","2","0.6","0","0","0","0","0","0","0","0","1","0.5","0","0","0","0","0","0","7","4.4","0","0","0","0","5","3.9","0","0","1","0.4","1","0.4","1","0.5","1","0.7","0","0","0","0","4","4.7","0","0","0","0"
"18","Blackberry","34","2.7","19","2.2","15","3.7","19","3","15","2.4","7","3.1","7","2.5","6","2.4","8","3.3","6","2.3","3","1.1","14","3.7","9","2.6","8","3.2","7","3.9","0","0","6","5.7","2","1","4","2.9","0","0","5","3.5","8","5","2","2.2","2","0.8","9","7.1","4","2.8","11","4","3","1.1","5","2.7","3","2","3","1.2","3","1.7","3","3.5","2","2","5","6"
