"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","P11","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"2","P11.Env.os.de.dinero","126","10","78","9.2","48","11.7","76","11.9","50","8.1","30","13.2","29","10.4","23","9.4","19","7.9","25","9.4","27","9.5","41","11","30","8.6","28","11.2","20","11","12","8.3","7","6.6","8","4.1","7","5.1","2","2","13","9","28","17.6","29","31.2","31","12.2","19","15","9","6.3","22","7.9","32","11.8","13","7","15","10.1","30","11.7","7","4","11","12.8","6","6.1","9","10.8"
"3","P11.Pago.de.servicios..Tel.fono..A","154","12.2","97","11.4","57","13.9","67","10.5","87","14","30","13.2","38","13.7","32","13.1","25","10.4","29","10.9","32","11.3","46","12.3","45","12.9","31","12.4","35","19.3","16","11.1","7","6.6","6","3.1","15","10.9","5","5","27","18.8","18","11.3","25","26.9","31","12.2","18","14.2","12","8.5","40","14.4","36","13.2","17","9.2","15","10.1","36","14","19","10.7","8","9.3","5","5.1","14","16.9"
"4","P11.Banca.m.vil","88","7","71","8.4","17","4.2","47","7.4","41","6.6","25","11","21","7.6","19","7.8","14","5.8","9","3.4","18","6.3","30","8","19","5.4","21","8.4","19","10.5","8","5.6","5","4.7","13","6.7","5","3.6","18","18","9","6.2","9","5.7","2","2.2","9","3.5","8","6.3","9","6.3","26","9.4","32","11.8","4","2.2","22","14.9","19","7.4","11","6.2","2","2.3","9","9.2","8","9.6"
"5","P11.Tarjeta.de.cr.dito","196","15.6","120","14.1","76","18.6","115","18","81","13.1","33","14.5","48","17.3","48","19.6","35","14.5","32","12","71","25","58","15.5","42","12","25","10","35","19.3","34","23.6","17","16","28","14.4","18","13.1","17","17","24","16.7","18","11.3","5","5.4","42","16.5","17","13.4","20","14.1","38","13.7","33","12.1","46","24.9","20","13.5","27","10.5","40","22.6","7","8.1","12","12.2","14","16.9"
"6","P11.Tarjeta..Azteca","34","2.7","24","2.8","10","2.4","22","3.4","12","1.9","9","3.9","4","1.4","7","2.9","5","2.1","9","3.4","8","2.8","11","2.9","12","3.4","3","1.2","5","2.8","13","9","11","10.4","0","0","0","0","1","1","1","0.7","3","1.9","0","0","3","1.2","9","7.1","5","3.5","7","2.5","7","2.6","3","1.6","5","3.4","5","1.9","6","3.4","4","4.7","2","2","2","2.4"
"7","P11.Cuenta.de.cheques","13","1","10","1.2","3","0.7","6","0.9","7","1.1","7","3.1","2","0.7","2","0.8","1","0.4","1","0.4","2","0.7","3","0.8","6","1.7","2","0.8","5","2.8","0","0","0","0","0","0","1","0.7","3","3","1","0.7","3","1.9","0","0","0","0","1","0.8","2","1.4","5","1.8","4","1.5","1","0.5","4","2.7","0","0","2","1.1","2","2.3","2","2","0","0"
"8","P11.Pr.stamos.personales.para.viaj","80","6.4","62","7.3","18","4.4","34","5.3","46","7.4","17","7.5","20","7.2","16","6.5","18","7.5","9","3.4","29","10.2","22","5.9","21","6","8","3.2","13","7.2","6","4.2","4","3.8","15","7.7","4","2.9","10","10","9","6.2","12","7.5","7","7.5","12","4.7","11","8.7","6","4.2","24","8.6","21","7.7","6","3.2","14","9.5","17","6.6","7","4","9","10.5","7","7.1","8","9.6"
"9","P11.Pr.stamos.personales.para.educ","104","8.3","70","8.2","34","8.3","51","8","53","8.5","16","7","22","7.9","22","9","22","9.1","22","8.3","38","13.4","29","7.8","27","7.7","10","4","19","10.5","8","5.6","11","10.4","19","9.8","9","6.6","7","7","11","7.6","13","8.2","7","7.5","20","7.9","8","6.3","10","7","28","10.1","26","9.6","12","6.5","7","4.7","20","7.8","21","11.9","6","7","9","9.2","7","8.4"
"10","P11.Pr.stamos.personales.para.mejo","78","6.2","66","7.8","12","2.9","36","5.6","42","6.8","15","6.6","16","5.8","12","4.9","17","7.1","18","6.8","11","3.9","25","6.7","27","7.7","15","6","12","6.6","7","4.9","2","1.9","7","3.6","7","5.1","9","9","7","4.9","16","10.1","11","11.8","18","7.1","11","8.7","8","5.6","18","6.5","20","7.4","3","1.6","11","7.4","23","8.9","11","6.2","9","10.5","7","7.1","5","6"
