"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"2","TOYOTA","27","7","21","6.8","6","8","12","5.1","15","9.9","15","9.5","4","3","2","4.3","6","19.4","0","0","3","7","11","8.7","9","7.3","4","4.3","2","3.1","1","3.6","1","5.3","0","0","2","4.3","4","15.4","1","3.1","14","15.2","2","5.4","7","16.3","7","10.8","3","6.1","3","3.3","6","5.2","1","4.3","5","6.5","8","10.4","0","0","4","8.3","3","7.9","1","3"
"3","VOLKSWAGEN","40","10.4","32","10.3","8","10.7","26","11.1","14","9.3","19","12","13","9.7","5","10.6","1","3.2","2","12.5","4","9.3","15","11.8","11","8.9","10","10.8","4","6.2","5","17.9","5","26.3","9","22","9","19.1","3","11.5","5","15.6","0","0","0","0","2","4.7","2","3.1","7","14.3","10","11","15","13","4","17.4","8","10.4","6","7.8","7","18.4","4","8.3","5","13.2","2","6.1"
"4","NISSAN","98","25.4","80","25.7","18","24","57","24.3","41","27.2","32","20.3","34","25.4","13","27.7","13","41.9","6","37.5","11","25.6","25","19.7","39","31.7","23","24.7","8","12.5","6","21.4","4","21.1","9","22","10","21.3","9","34.6","16","50","27","29.3","9","24.3","12","27.9","16","24.6","13","26.5","23","25.3","34","29.6","0","0","15","19.5","24","31.2","8","21.1","14","29.2","8","21.1","11","33.3"
"5","FORD","56","14.5","40","12.9","16","21.3","34","14.5","22","14.6","28","17.7","22","16.4","5","10.6","0","0","1","6.2","4","9.3","18","14.2","17","13.8","17","18.3","5","7.8","2","7.1","3","15.8","4","9.8","10","21.3","2","7.7","4","12.5","17","18.5","9","24.3","5","11.6","11","16.9","9","18.4","10","11","19","16.5","2","8.7","8","10.4","13","16.9","5","13.2","8","16.7","4","10.5","2","6.1"
"6","CHRYSLER","3","0.8","3","1","0","0","2","0.9","1","0.7","0","0","1","0.7","2","4.3","0","0","0","0","0","0","2","1.6","0","0","1","1.1","0","0","0","0","0","0","1","2.4","1","2.1","0","0","0","0","1","1.1","0","0","0","0","0","0","0","0","1","1.1","2","1.7","0","0","1","1.3","1","1.3","1","2.6","0","0","0","0","0","0"
"7","CHEVROLET","84","21.8","70","22.5","14","18.7","53","22.6","31","20.5","31","19.6","32","23.9","8","17","6","19.4","7","43.8","10","23.3","36","28.3","23","18.7","15","16.1","17","26.6","11","39.3","5","26.3","11","26.8","5","10.6","4","15.4","6","18.8","17","18.5","8","21.6","9","20.9","18","27.7","5","10.2","17","18.7","26","22.6","9","39.1","18","23.4","16","20.8","12","31.6","9","18.8","5","13.2","10","30.3"
"8","MAZDA","10","2.6","7","2.3","3","4","8","3.4","2","1.3","6","3.8","3","2.2","1","2.1","0","0","0","0","2","4.7","2","1.6","3","2.4","3","3.2","6","9.4","0","0","0","0","1","2.4","1","2.1","0","0","0","0","0","0","2","5.4","1","2.3","1","1.5","1","2","5","5.5","0","0","2","8.7","5","6.5","1","1.3","0","0","0","0","1","2.6","0","0"
"9","HONDA","13","3.4","12","3.9","1","1.3","7","3","6","4","6","3.8","6","4.5","1","2.1","0","0","0","0","2","4.7","2","1.6","4","3.3","5","5.4","2","3.1","2","7.1","0","0","1","2.4","2","4.3","1","3.8","0","0","0","0","5","13.5","2","4.7","0","0","3","6.1","4","4.4","3","2.6","1","4.3","4","5.2","3","3.9","0","0","0","0","4","10.5","1","3"
"10","DODGE","15","3.9","11","3.5","4","5.3","9","3.8","6","4","5","3.2","7","5.2","2","4.3","1","3.2","0","0","3","7","3","2.4","4","3.3","5","5.4","6","9.4","0","0","0","0","0","0","3","6.4","0","0","0","0","6","6.5","0","0","1","2.3","4","6.2","3","6.1","2","2.2","3","2.6","2","8.7","2","2.6","1","1.3","1","2.6","2","4.2","3","7.9","2","6.1"
