"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","P11.Env.os.de.dinero","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"2","PARA ENVIAR O RECIBIR DINERO","92","73","56","71.8","36","75","57","75","35","70","24","80","19","65.5","18","78.3","13","68.4","18","72","24","88.9","26","63.4","24","80","18","64.3","13","65","9","75","6","85.7","5","62.5","4","57.1","2","100","10","76.9","17","60.7","26","89.7","24","77.4","13","68.4","4","44.4","18","81.8","24","75","9","69.2","12","80","23","76.7","6","85.7","7","63.6","3","50","5","55.6"
"3","APOYAR A MIS FAMILIARES","49","38.9","31","39.7","18","37.5","35","46.1","14","28","10","33.3","10","34.5","12","52.2","7","36.8","10","40","9","33.3","16","39","16","53.3","8","28.6","5","25","10","83.3","4","57.1","4","50","0","0","0","0","4","30.8","8","28.6","14","48.3","13","41.9","12","63.2","2","22.2","6","27.3","14","43.8","2","15.4","7","46.7","12","40","1","14.3","5","45.5","1","16.7","5","55.6"
"4","PARA TENER UN RESPALDO EN EMERGENCIAS","3","2.4","0","0","3","6.2","1","1.3","2","4","1","3.3","2","6.9","0","0","0","0","0","0","1","3.7","0","0","0","0","2","7.1","1","5","2","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3.2","0","0","0","0","1","4.5","0","0","1","7.7","0","0","0","0","0","0","0","0","0","0","0","0"
"5","PARA HACER VARIAS OPERACIONES COMODAMENTE","8","6.3","7","9","1","2.1","5","6.6","3","6","1","3.3","5","17.2","1","4.3","1","5.3","0","0","1","3.7","3","7.3","2","6.7","2","7.1","0","0","0","0","0","0","0","0","2","28.6","0","0","0","0","3","10.7","3","10.3","3","9.7","0","0","2","22.2","0","0","3","9.4","0","0","0","0","4","13.3","0","0","1","9.1","2","33.3","0","0"
"6","PAGAR DEUDAS","5","4","4","5.1","1","2.1","2","2.6","3","6","0","0","0","0","1","4.3","3","15.8","1","4","0","0","4","9.8","0","0","1","3.6","1","5","0","0","0","0","0","0","0","0","0","0","0","0","4","14.3","0","0","2","6.5","1","5.3","1","11.1","1","4.5","0","0","0","0","0","0","1","3.3","1","14.3","1","9.1","1","16.7","0","0"
"7","PARA PONER UN NEGOCIO","1","0.8","1","1.3","0","0","0","0","1","2","1","3.3","0","0","0","0","0","0","0","0","0","0","0","0","1","3.3","0","0","0","0","0","0","1","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9.1","0","0","0","0"
"8","PAGO DE SERVICIOS","3","2.4","0","0","3","6.2","1","1.3","2","4","1","3.3","0","0","0","0","0","0","2","8","0","0","2","4.9","1","3.3","0","0","2","10","0","0","0","0","0","0","1","14.3","0","0","0","0","0","0","0","0","0","0","0","0","2","22.2","0","0","0","0","1","7.7","0","0","0","0","0","0","0","0","0","0","0","0"
"9","PARA HACER CRECER MI NEGOCIO","3","2.4","1","1.3","2","4.2","1","1.3","2","4","0","0","0","0","2","8.7","1","5.3","0","0","1","3.7","1","2.4","0","0","1","3.6","0","0","0","0","0","0","3","37.5","0","0","0","0","0","0","0","0","0","0","1","3.2","0","0","0","0","0","0","1","3.1","1","7.7","0","0","1","3.3","0","0","0","0","0","0","0","0"
"10","PARA HACER COMPRAS","2","1.6","1","1.3","1","2.1","2","2.6","0","0","0","0","1","3.4","0","0","0","0","1","4","0","0","1","2.4","0","0","1","3.6","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3.4","1","3.2","0","0","0","0","1","4.5","0","0","0","0","0","0","1","3.3","0","0","0","0","0","0","0","0"
"11","PARA AHORRAR TIEMPO","1","0.8","1","1.3","0","0","1","1.3","0","0","0","0","1","3.4","0","0","0","0","0","0","0","0","0","0","0","0","1","3.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3.6","0","0","0","0","0","0","0","0","0","0","1","3.1","0","0","1","6.7","0","0","0","0","0","0","0","0","0","0"
"12","NO SABE/NO CONTESTO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","OTROS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","PARA COMPRAR UN AUTO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
