"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41"
"1","Genero","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"2","Femenino","430","39.8","430","100","0","0","0","NaN","158","44.5","119","36.8","86","35.8","51","42.9","16","37.2","0","NaN","89","47.1","152","40.3","104","38","85","35.4","57","23.7","79","49.4","44","27.7","68","41.7","82","47.7","100","54.1"
"3","Masculino","650","60.2","0","0","650","100","0","NaN","197","55.5","204","63.2","154","64.2","68","57.1","27","62.8","0","NaN","100","52.9","225","59.7","170","62","155","64.6","184","76.3","81","50.6","115","72.3","95","58.3","90","52.3","85","45.9"
"4","Total","1080","100","430","100","650","100","0","NaN","355","100","323","100","240","100","119","100","43","100","0","NaN","189","100","377","100","274","100","240","100","241","100","160","100","159","100","163","100","172","100","185","100"
"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","NSE","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"7","A/B","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","C+","355","32.9","158","36.7","197","30.3","0","NaN","355","100","0","0","0","0","0","0","0","0","0","NaN","45","23.8","119","31.6","105","38.3","86","35.8","52","21.6","45","28.1","83","52.2","31","19","75","43.6","69","37.3"
"9","C","323","29.9","119","27.7","204","31.4","0","NaN","0","0","323","100","0","0","0","0","0","0","0","NaN","50","26.5","119","31.6","86","31.4","68","28.3","81","33.6","40","25","57","35.8","57","35","49","28.5","39","21.1"
"10","C-","240","22.2","86","20","154","23.7","0","NaN","0","0","0","0","240","100","0","0","0","0","0","NaN","53","28","89","23.6","48","17.5","50","20.8","59","24.5","39","24.4","18","11.3","46","28.2","27","15.7","51","27.6"
"11","D+","119","11","51","11.9","68","10.5","0","NaN","0","0","0","0","0","0","119","100","0","0","0","NaN","28","14.8","37","9.8","25","9.1","29","12.1","42","17.4","23","14.4","1","0.6","26","16","15","8.7","12","6.5"
"12","D","43","4","16","3.7","27","4.2","0","NaN","0","0","0","0","0","0","0","0","43","100","0","NaN","13","6.9","13","3.4","10","3.6","7","2.9","7","2.9","13","8.1","0","0","3","1.8","6","3.5","14","7.6"
"13","E","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Total","1080","100","430","100","650","100","0","NaN","355","100","323","100","240","100","119","100","43","100","0","NaN","189","100","377","100","274","100","240","100","241","100","160","100","159","100","163","100","172","100","185","100"
"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16","Edad_Rango","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"17","18 - 24","189","17.5","89","20.7","100","15.4","0","NaN","45","12.7","50","15.5","53","22.1","28","23.5","13","30.2","0","NaN","189","100","0","0","0","0","0","0","38","15.8","36","22.5","27","17","27","16.6","33","19.2","28","15.1"
"18","25 - 34","377","34.9","152","35.3","225","34.6","0","NaN","119","33.5","119","36.8","89","37.1","37","31.1","13","30.2","0","NaN","0","0","377","100","0","0","0","0","91","37.8","44","27.5","44","27.7","53","32.5","66","38.4","79","42.7"
"19","35 - 44","274","25.4","104","24.2","170","26.2","0","NaN","105","29.6","86","26.6","48","20","25","21","10","23.3","0","NaN","0","0","0","0","274","100","0","0","65","27","34","21.2","52","32.7","42","25.8","33","19.2","48","25.9"
"20","45 - 55","240","22.2","85","19.8","155","23.8","0","NaN","86","24.2","68","21.1","50","20.8","29","24.4","7","16.3","0","NaN","0","0","0","0","0","0","240","100","47","19.5","46","28.7","36","22.6","41","25.2","40","23.3","30","16.2"
"21","Total","1080","100","430","100","650","100","0","NaN","355","100","323","100","240","100","119","100","43","100","0","NaN","189","100","377","100","274","100","240","100","241","100","160","100","159","100","163","100","172","100","185","100"
"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23","Plaza","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"24","Ciudad de México","241","22.3","57","13.3","184","28.3","0","NaN","52","14.6","81","25.1","59","24.6","42","35.3","7","16.3","0","NaN","38","20.1","91","24.1","65","23.7","47","19.6","241","100","0","0","0","0","0","0","0","0","0","0"
"25","Tijuana","160","14.8","79","18.4","81","12.5","0","NaN","45","12.7","40","12.4","39","16.2","23","19.3","13","30.2","0","NaN","36","19","44","11.7","34","12.4","46","19.2","0","0","160","100","0","0","0","0","0","0","0","0"
"26","Monterrey","159","14.7","44","10.2","115","17.7","0","NaN","83","23.4","57","17.6","18","7.5","1","0.8","0","0","0","NaN","27","14.3","44","11.7","52","19","36","15","0","0","0","0","159","100","0","0","0","0","0","0"
"27","Guadalajara","163","15.1","68","15.8","95","14.6","0","NaN","31","8.7","57","17.6","46","19.2","26","21.8","3","7","0","NaN","27","14.3","53","14.1","42","15.3","41","17.1","0","0","0","0","0","0","163","100","0","0","0","0"
"28","Puebla","172","15.9","82","19.1","90","13.8","0","NaN","75","21.1","49","15.2","27","11.2","15","12.6","6","14","0","NaN","33","17.5","66","17.5","33","12","40","16.7","0","0","0","0","0","0","0","0","172","100","0","0"
"29","Mérida","185","17.1","100","23.3","85","13.1","0","NaN","69","19.4","39","12.1","51","21.2","12","10.1","14","32.6","0","NaN","28","14.8","79","21","48","17.5","30","12.5","0","0","0","0","0","0","0","0","0","0","185","100"
"30","Total","1080","100","430","100","650","100","0","NaN","355","100","323","100","240","100","119","100","43","100","0","NaN","189","100","377","100","274","100","240","100","241","100","160","100","159","100","163","100","172","100","185","100"
"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32","P9","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"33","Mamá","246","22.8","241","56","5","0.8","0","NaN","82","23.1","73","22.6","53","22.1","28","23.5","10","23.3","0","NaN","20","10.6","61","16.2","98","35.8","67","27.9","28","11.6","52","32.5","23","14.5","37","22.7","48","27.9","58","31.4"
"34","Papá","366","33.9","7","1.6","359","55.2","0","NaN","123","34.6","110","34.1","79","32.9","40","33.6","14","32.6","0","NaN","6","3.2","96","25.5","145","52.9","119","49.6","98","40.7","39","24.4","65","40.9","65","39.9","48","27.9","51","27.6"
"35","Hijo","207","19.2","10","2.3","197","30.3","0","NaN","52","14.6","67","20.7","61","25.4","21","17.6","6","14","0","NaN","88","46.6","106","28.1","9","3.3","4","1.7","68","28.2","23","14.4","34","21.4","22","13.5","25","14.5","35","18.9"
"36","Hija","125","11.6","124","28.8","1","0.2","0","NaN","51","14.4","34","10.5","18","7.5","18","15.1","4","9.3","0","NaN","57","30.2","62","16.4","4","1.5","2","0.8","24","10","16","10","12","7.5","22","13.5","25","14.5","26","14.1"
"37","Abuelo","29","2.7","3","0.7","26","4","0","NaN","6","1.7","8","2.5","8","3.3","4","3.4","3","7","0","NaN","0","0","0","0","2","0.7","27","11.2","2","0.8","11","6.9","4","2.5","4","2.5","1","0.6","7","3.8"
"38","Abuela","14","1.3","14","3.3","0","0","0","NaN","5","1.4","2","0.6","5","2.1","2","1.7","0","0","0","NaN","0","0","0","0","1","0.4","13","5.4","0","0","3","1.9","0","0","6","3.7","0","0","5","2.7"
"39","Otro","92","8.5","31","7.2","61","9.4","0","NaN","36","10.1","29","9","16","6.7","6","5","5","11.6","0","NaN","18","9.5","52","13.8","15","5.5","7","2.9","21","8.7","15","9.4","21","13.2","7","4.3","25","14.5","3","1.6"
"40","No sabe/ no contestó","1","0.1","0","0","1","0.2","0","NaN","0","0","0","0","0","0","0","0","1","2.3","0","NaN","0","0","0","0","0","0","1","0.4","0","0","1","0.6","0","0","0","0","0","0","0","0"
"41","Total","1080","100","430","100","650","100","0","NaN","355","100","323","100","240","100","119","100","43","100","0","NaN","189","100","377","100","274","100","240","100","241","100","160","100","159","100","163","100","172","100","185","100"
"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43","P10","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"44","Automóvil","826","76.5","357","83","469","72.2","0","NaN","307","86.5","264","81.7","170","70.8","69","58","16","37.2","0","NaN","123","65.1","282","74.8","224","81.8","197","82.1","170","70.5","138","86.2","132","83","128","78.5","131","76.2","127","68.6"
"45","Moto / Motocicleta","146","13.5","36","8.4","110","16.9","0","NaN","15","4.2","31","9.6","45","18.8","33","27.7","22","51.2","0","NaN","40","21.2","72","19.1","20","7.3","14","5.8","50","20.7","6","3.8","12","7.5","15","9.2","23","13.4","40","21.6"
